datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,lightning_nodes,lightning_capacity_usd,fear_greed_category_Extreme Fear,fear_greed_category_Extreme Greed,fear_greed_category_Fear,fear_greed_category_Greed,fear_greed_category_Neutral
2018-02-01 00:00:00,9559.06,16839677,160971485646.41174,89753220216.99026,0.4424278321308332,22506751.41749557,848865.0,30.0,0.0,38494.77528,0,0,1,0,0
2018-02-02 00:00:00,8612.59,16841777,145051322715.72903,89102141610.90201,0.3857198959465953,15122570.9701863,859632.0,15.0,0.0,36200.17144,1,0,0,0,0
2018-02-03 00:00:00,8933.79,16843752,150478545818.22946,89011444779.02611,0.4084775055804469,8229230.082923984,722943.0,40.0,0.0,36972.85374,0,0,1,0,0
2018-02-04 00:00:00,8747.4,16845977,147358501792.90845,89017333004.56073,0.3959131511145382,93944641.3766747,727585.0,24.0,0.0,39407.64214,1,0,0,0,0
2018-02-05 00:00:00,7630.57,16848289,128562054663.3176,88249836879.26576,0.3135623329109258,39046637.82871036,910410.0,11.0,0.0,41452.51863,1,0,0,0,0
2018-02-06 00:00:00,6817.97,16850414,114885622561.90732,88099745891.23091,0.2331525570681619,35703473.748701185,1007028.0,8.0,0.0,36978.61467,1,0,0,0,0
2018-02-07 00:00:00,7901.75,16852177,133161691943.13188,87753941631.29684,0.3409970964564411,9800719.948542744,819765.0,36.0,0.0,44531.95791,0,0,1,0,0
2018-02-08 00:00:00,8226.52,16853814,138648244489.82626,87658182540.20293,0.3677656513953545,28686153.001797646,750412.0,30.0,0.0,45871.96659,0,0,1,0,0
2018-02-09 00:00:00,8271.16,16855502,139414556364.78842,87657744104.69864,0.371243961962367,5486338.70729028,778811.0,44.0,0.0,46426.41664,0,0,1,0,0
2018-02-10 00:00:00,8650.82,16857289,145829379706.97177,87628665480.03012,0.3991014317134835,5652427.833941374,746239.0,54.0,0.0,48970.29949,0,0,0,0,1
2018-02-11 00:00:00,8200.05,16859177,138246096780.31967,87554641101.16605,0.3666754929052718,9103650.96304344,821981.0,31.0,0.0,48129.48191,0,0,1,0,0
2018-02-12 00:00:00,8630.1,16861252,145514293433.6632,87679696916.25034,0.3974495917390988,8565802.24909733,918494.0,42.0,0.0,51395.44602,0,0,1,0,0
2018-02-13 00:00:00,8621.54,16863302,145387635271.01544,87553809490.59688,0.3977905388763713,4648632.25537323,856261.0,35.0,0.0,50696.82274,0,0,1,0,0
